博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间,二级评论点赞
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,一个病人zdtyz,说实话，我觉得写的已经很合情理了，我带着特别审视的眼光看，也觉得这基本就是事实了，而且这样的口供，已经对司机挺不利的了，我看不出问题了,3月3日 10:59,70729,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,凶残的小柿子,女孩两次拒绝周某提出的加价服务，周某又想快点完成这单，跑下一单，心情烦躁不理会女孩的诉求！一系列的误会造成了这么严重的后果！其实两个人都口气好点，态度好点！悲剧根本不至于发生！女孩如果当时尽力跟司机沟通，也不至于这样啊！有时候真的是态度决定了结果,3月3日 11:05,46866,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,可惜迣鎅不及你好,偏航提醒不理，让停车不停，什么辣鸡司机,3月3日 10:56,41467,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,Dcadence-,看了通报，感觉乘客反应稍微有些过激。司机也不容易，大半夜在楼下干等四十多分钟不赚钱。总言之，平台的问题最大，并没有保障司机和乘客的权益，希望好好整改！逝者安息。,3月3日 11:08,34699,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,营养科普汤哥,这个批捕有点想不通，希望无罪辩护,3月3日 11:05,35306,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,pafhiniki,司机倒霉死了……,3月3日 10:59,29244,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,草莓怎样才好吃,当初一群要社死司机，一口咬定司机就是杀人凶手，司机想要QJ女孩的键盘侠呢？出来道歉啊，司机是杀人凶手吗？现在没声了？装死了？垃圾人一群。,3月3日 11:10,24776,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,JombieSmall,这个女孩最大的错误就是，不是完美受害人，以至于人死了，还被一群道德至高的人骂想太多,3月3日 11:11,21577,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,卖姑娘的小花朵,我觉得是这个女孩子的问题，没有为别人考虑，跑了十五趟让司机等候，可以适当加点钱就能解决问题，偏不，时间对司机来说就是金钱多拉一单是一单，这个女孩子做人不为他人留一线，所谓又反动又怕死，枉送了自己性命,3月3日 11:18,16349,,,,
https://weibo.com/1686546714/K4sakAE9s?refer_flag=1001030103_&type=comment#_rnd1615001569784,环球网, 3月3日 10:52,微博 weibo.com,"
                                                                                                                        #货拉拉事件现场无打斗痕迹#【女生坐货拉拉跳车身亡最新通报： 涉事司机被批捕，现场无打斗痕迹】#货拉拉司机过失致人死亡案件情况通报##货拉拉跳车事件涉事司机被批捕#原标题：关于周某春涉嫌过失致人死亡案件的情况通报。近期，长沙市高新区发生的“货拉拉女乘客坠车死亡事件”受到社会广泛关注。该事件发生后，公安机关高度重视，抽调精干警力成立工作组，扎实开展前期调查和案件侦办工作。为回应社会关切，现将案件情况通报如图#货拉拉女用户跳车身亡事件最新通报#（来源：长沙高新公安）:                                            ",18623,110046,1658741,http://wx1.sinaimg.cn/mw690/001Q8zQmly1go6j0osr44j60d34mo7k602.jpg,,襄樊的豆腐面,这女孩子想的太多了,3月3日 10:54,9431,,,,
